          DH  INJV           Xt           Mt          XMt          NDH
     0.08813   0.2      0.00000      0.00000      0.00000      0.00000
     0.16054   3.0      0.00000      0.00000      0.00000      0.00000
     0.12673   3.0      0.00000      0.00000      0.00000      0.00000
    -0.02278   3.0      0.00000      0.00000      0.00000      0.00000
    -0.16111   3.0      0.00000      0.00000      0.00000      0.00000
    -0.20050   3.0      0.00000      0.00000      0.00000      0.00000
    -0.12767   3.0      0.00000      0.00000      0.00000      0.00000
     0.00422   3.0      0.00000      0.00000      0.00000      0.00000
     0.13568   3.0      0.00000      0.00000      0.00000      0.00000
     0.13640   3.0      0.00000      0.00000      0.00000      0.00000
    -0.05918   3.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
