          DH  INJV           Xt           Mt          XMt          NDH
    -0.02914   0.1      0.00000      0.00000      0.00000      0.00000
     0.02614   1.5      0.00000      0.00000      0.00000      0.00000
    -0.04391   1.5      0.00000      0.00000      0.00000      0.00000
    -0.04426   1.5      0.00000      0.00000      0.00000      0.00000
    -0.00093   1.5      0.00000      0.00000      0.00000      0.00000
     0.03957   1.5      0.00000      0.00000      0.00000      0.00000
    -0.03199   1.5      0.00000      0.00000      0.00000      0.00000
    -0.05087   1.5      0.00000      0.00000      0.00000      0.00000
     0.02298   1.5      0.00000      0.00000      0.00000      0.00000
     0.01175   1.5      0.00000      0.00000      0.00000      0.00000
    -0.01008   1.5      0.00000      0.00000      0.00000      0.00000
    -0.02511   1.5      0.00000      0.00000      0.00000      0.00000
     0.00052   1.5      0.00000      0.00000      0.00000      0.00000
    -0.02035   1.5      0.00000      0.00000      0.00000      0.00000
    -0.04111   1.5      0.00000      0.00000      0.00000      0.00000
     0.03633   1.5      0.00000      0.00000      0.00000      0.00000
     0.00790   1.5      0.00000      0.00000      0.00000      0.00000
    -0.05473   1.5      0.00000      0.00000      0.00000      0.00000
    -0.00835   1.5      0.00000      0.00000      0.00000      0.00000
     0.00351   1.5      0.00000      0.00000      0.00000      0.00000
    -0.02301   1.5      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
